orphan,tweet_time,genuine_tweet,is_follower,has_mention,favorite_count,original_is_question,rt_count,resonance_Factor,reply_is_answer,hours_to_answer,tweet_weekday,auto_tweet,id_str,follower_local,screen_name,created_at,has_url,has_media,is_reply,has_hashtag,tweet_month
NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,451335585626484736,NA,hsubib,Wed Apr 02 12:29:23 +0000 2014,NA,NA,0,NA,4
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,1,0,450623382875561984,NA,hsubib,Mon Mar 31 13:19:21 +0000 2014,1,0,0,1,3
NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,449194959594590208,NA,hsubib,Thu Mar 27 14:43:18 +0000 2014,NA,NA,0,NA,3
NA,10,1,NA,0,1,NA,1,1.5,NA,NA,1,0,448044007713947648,NA,hsubib,Mon Mar 24 10:29:50 +0000 2014,1,0,0,1,3
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,5,0,446933924753997824,NA,hsubib,Fri Mar 21 08:58:45 +0000 2014,1,0,0,0,3
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,4,0,446592168392925184,NA,hsubib,Thu Mar 20 10:20:44 +0000 2014,1,0,0,0,3
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,3,0,446272951714086912,NA,hsubib,Wed Mar 19 13:12:17 +0000 2014,1,0,0,1,3
NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,445928319436206080,NA,hsubib,Tue Mar 18 14:22:50 +0000 2014,NA,NA,0,NA,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,2,0,445926324562329600,NA,hsubib,Tue Mar 18 14:14:55 +0000 2014,1,0,0,1,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,1,0,445567163194421249,NA,hsubib,Mon Mar 17 14:27:44 +0000 2014,1,0,0,1,3
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,1,0,445486886531133440,NA,hsubib,Mon Mar 17 09:08:45 +0000 2014,1,0,0,1,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,4,0,444112079650586624,NA,hsubib,Thu Mar 13 14:05:45 +0000 2014,1,0,0,1,3
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,4,0,444036606492958720,NA,hsubib,Thu Mar 13 09:05:51 +0000 2014,1,0,0,0,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,2,0,443390558057549824,NA,hsubib,Tue Mar 11 14:18:41 +0000 2014,1,0,0,1,3
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,1,0,442958430584983552,NA,hsubib,Mon Mar 10 09:41:34 +0000 2014,1,0,0,1,3
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,4,0,441514406934241280,NA,hsubib,Thu Mar 06 10:03:32 +0000 2014,1,0,0,0,3
NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,440834094055051265,NA,hsubib,Tue Mar 04 13:00:12 +0000 2014,NA,NA,0,NA,3
NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,440809804768890880,NA,hsubib,Tue Mar 04 11:23:41 +0000 2014,NA,NA,0,NA,3
NA,13,1,NA,0,1,NA,0,0.5,NA,NA,1,0,440482089289256961,NA,hsubib,Mon Mar 03 13:41:28 +0000 2014,1,0,0,1,3
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,1,0,440436858263044097,NA,hsubib,Mon Mar 03 10:41:44 +0000 2014,1,0,0,1,3
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,5,0,439387372372099072,NA,hsubib,Fri Feb 28 13:11:27 +0000 2014,1,0,0,1,2
NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,438303122453041153,NA,hsubib,Tue Feb 25 13:23:02 +0000 2014,NA,NA,0,NA,2
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,1,0,437928200836878336,NA,hsubib,Mon Feb 24 12:33:14 +0000 2014,1,0,0,1,2
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,5,0,436799517472858112,NA,hsubib,Fri Feb 21 09:48:14 +0000 2014,1,0,0,1,2
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,0,436423071789223936,NA,hsubib,Thu Feb 20 08:52:23 +0000 2014,1,0,0,1,2
NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,435763424308776960,NA,hsubib,Tue Feb 18 13:11:11 +0000 2014,NA,NA,0,NA,2
NA,11,1,NA,0,0,NA,2,2.0,NA,NA,2,0,435737575471341570,NA,hsubib,Tue Feb 18 11:28:28 +0000 2014,1,0,0,1,2
NA,14,1,NA,0,0,NA,1,1.0,NA,NA,1,0,435414588540977152,NA,hsubib,Mon Feb 17 14:05:02 +0000 2014,1,0,0,1,2
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,1,0,435342911530496000,NA,hsubib,Mon Feb 17 09:20:13 +0000 2014,1,0,0,1,2
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,4,0,433931761290973185,NA,hsubib,Thu Feb 13 11:52:48 +0000 2014,1,0,0,1,2
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,4,0,433906900086702080,NA,hsubib,Thu Feb 13 10:14:01 +0000 2014,1,0,0,0,2
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,1,0,432885173592391680,NA,hsubib,Mon Feb 10 14:34:02 +0000 2014,1,0,0,1,2
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,1,0,432828840436461568,NA,hsubib,Mon Feb 10 10:50:11 +0000 2014,1,0,0,0,2
NA,12,1,NA,0,0,NA,1,1.0,NA,NA,5,0,431763518262890496,NA,hsubib,Fri Feb 07 12:16:59 +0000 2014,1,0,0,0,2
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,3,0,431044119184416768,NA,hsubib,Wed Feb 05 12:38:21 +0000 2014,1,0,0,1,2
NA,10,1,NA,1,0,NA,0,0.0,NA,NA,3,0,431014309825486848,NA,hsubib,Wed Feb 05 10:39:53 +0000 2014,1,0,0,1,2
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,3,0,431004907944939520,NA,hsubib,Wed Feb 05 10:02:32 +0000 2014,0,0,0,0,2
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,1,0,430300165627314176,NA,hsubib,Mon Feb 03 11:22:08 +0000 2014,1,0,0,0,2
NA,12,1,NA,0,1,NA,0,0.5,NA,NA,5,0,429222689450893312,NA,hsubib,Fri Jan 31 12:00:38 +0000 2014,1,0,0,0,1
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,4,0,428893614840635392,NA,hsubib,Thu Jan 30 14:13:00 +0000 2014,1,0,0,1,1
NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,428161322778259457,NA,hsubib,Tue Jan 28 13:43:08 +0000 2014,NA,NA,0,NA,1
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,2,0,428095527079534594,NA,hsubib,Tue Jan 28 09:21:41 +0000 2014,1,0,0,1,1
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,1,0,427802840958898176,NA,hsubib,Mon Jan 27 13:58:40 +0000 2014,1,0,0,0,1
NA,12,1,NA,0,0,NA,1,1.0,NA,NA,1,0,427781159108366336,NA,hsubib,Mon Jan 27 12:32:30 +0000 2014,1,0,0,1,1
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,1,0,427749270427426816,NA,hsubib,Mon Jan 27 10:25:47 +0000 2014,1,0,0,1,1
NA,11,1,NA,0,1,NA,1,1.5,NA,NA,5,0,426670851132358656,NA,hsubib,Fri Jan 24 11:00:32 +0000 2014,1,0,0,1,1
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,4,0,426325094579724288,NA,hsubib,Thu Jan 23 12:06:37 +0000 2014,1,0,0,1,1
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,5,0,424105747694100480,NA,hsubib,Fri Jan 17 09:07:44 +0000 2014,1,0,0,1,1
NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,423093174064517122,NA,hsubib,Tue Jan 14 14:04:08 +0000 2014,NA,NA,0,NA,1
1,10,1,0,1,0,-,0,0.0,-,-,2,0,423041443645497344,0,hsubib,Tue Jan 14 10:38:34 +0000 2014,1,0,1,1,1
NA,14,1,NA,0,0,NA,1,1.0,NA,NA,1,0,422730558183976960,NA,hsubib,Mon Jan 13 14:03:13 +0000 2014,1,0,0,1,1
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,1,0,422669050276106242,NA,hsubib,Mon Jan 13 09:58:49 +0000 2014,1,0,0,1,1
NA,11,1,NA,1,0,NA,0,0.0,NA,NA,2,0,420516288230748161,NA,hsubib,Tue Jan 07 11:24:30 +0000 2014,1,0,0,1,1
NA,13,1,NA,0,0,NA,1,1.0,NA,NA,1,0,420178082763268096,NA,hsubib,Mon Jan 06 13:00:36 +0000 2014,1,0,0,1,1
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,1,0,420108649617293312,NA,hsubib,Mon Jan 06 08:24:41 +0000 2014,1,0,0,1,1
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,0,419053218438459393,NA,hsubib,Fri Jan 03 10:30:47 +0000 2014,1,0,0,1,1
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,5,0,413964332888629249,NA,hsubib,Fri Dec 20 09:29:22 +0000 2013,1,0,0,1,12
NA,12,1,NA,1,1,NA,0,0.5,NA,NA,2,0,412929978989178881,NA,hsubib,Tue Dec 17 12:59:13 +0000 2013,1,0,0,1,12
NA,08,1,NA,0,2,NA,0,1.0,NA,NA,2,0,412868458599038976,NA,hsubib,Tue Dec 17 08:54:45 +0000 2013,1,0,0,1,12
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,1,0,412554898522128384,NA,hsubib,Mon Dec 16 12:08:47 +0000 2013,1,0,0,1,12
NA,14,1,NA,0,1,NA,0,0.5,NA,NA,4,0,411134370020212736,NA,hsubib,Thu Dec 12 14:04:06 +0000 2013,1,0,0,0,12
NA,15,1,NA,0,0,NA,0,0.0,NA,NA,3,0,410799781317836800,NA,hsubib,Wed Dec 11 15:54:34 +0000 2013,1,0,0,1,12
NA,13,1,NA,1,0,NA,0,0.0,NA,NA,3,0,410755982348660736,NA,hsubib,Wed Dec 11 13:00:32 +0000 2013,1,0,0,1,12
NA,09,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,410709674326245376,NA,hsubib,Wed Dec 11 09:56:31 +0000 2013,NA,NA,0,NA,12
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,3,0,410709325418491904,NA,hsubib,Wed Dec 11 09:55:08 +0000 2013,1,0,0,0,12
NA,10,1,NA,1,0,NA,0,0.0,NA,NA,2,0,410351410392215552,NA,hsubib,Tue Dec 10 10:12:54 +0000 2013,1,1,0,1,12
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,1,0,410048592041107456,NA,hsubib,Mon Dec 09 14:09:37 +0000 2013,1,0,0,0,12
